town,lat,lon,pharmacies,parks,fetched_at,leisure_centres,gyms,community_centres,bus_stops,gp_surgeries,county,care_score,green_score,active_score,social_score,mobility_score,overall_score
Cheltenham,51.9,-2.08,15,53,2026-03-01 05:59:59,14,29,8,382,17,Gloucestershire,88.2,81.2,80.4,34.8,77.0,72.3
Oxford,51.752,-1.2577,11,37,2026-03-01 06:00:12,23,13,23,195,8,Oxfordshire,64.7,56.2,72.4,100.0,39.0,66.5
Norwich,52.6309,1.2974,14,39,2026-03-01 06:00:11,15,12,15,273,12,Norfolk,82.4,59.4,53.3,65.2,54.9,63.0
Cambridge,52.2053,0.1218,15,46,2026-03-01 05:59:58,20,11,9,251,13,Cambridgeshire,88.2,70.3,62.4,39.1,50.4,62.1
Bath,51.3811,-2.359,13,42,2026-03-01 05:59:56,3,23,12,331,5,Somerset,76.5,64.1,46.2,52.2,66.7,61.1
Plymouth,50.3755,-4.1427,17,37,2026-03-01 06:00:13,8,11,9,366,15,Devon,100.0,56.2,36.4,39.1,73.8,61.1
York,53.959,-1.0815,10,33,2026-03-01 06:00:55,11,8,20,340,14,North Yorkshire,58.8,50.0,37.7,87.0,68.5,60.4
Exeter,50.7184,-3.5339,8,56,2026-03-01 06:00:02,7,14,11,337,9,Devon,47.1,85.9,39.4,47.8,67.9,57.6
Taunton,51.0153,-3.1069,9,51,2026-03-01 06:00:44,10,8,16,159,8,Somerset,52.9,78.1,35.5,69.6,31.7,53.6
Lancaster,54.047,-2.801,11,25,2026-03-01 06:00:05,11,6,16,221,6,Lancashire,64.7,37.5,34.3,69.6,44.3,50.1
Southport,53.6477,-3.0065,12,28,2026-03-01 06:00:42,12,3,1,495,8,Merseyside,70.6,42.2,31.3,4.3,100.0,49.7
Brighton and Hove,50.827,-0.1687,13,34,2026-03-01 05:59:57,6,9,9,230,11,East Sussex,76.5,51.6,28.6,39.1,46.1,48.4
St Albans,51.7527,-0.3394,9,65,2026-03-01 06:00:43,9,4,5,181,5,Hertfordshire,52.9,100.0,26.5,21.7,36.2,47.5
Carlisle,54.8951,-2.9382,9,55,2026-03-01 06:05:07,4,5,6,246,7,Cumbria,52.9,84.4,17.3,26.1,49.4,46.0
Ipswich,52.0567,1.1482,12,30,2026-03-01 06:00:04,3,6,2,397,8,Suffolk,70.6,45.3,16.9,8.7,80.1,44.3
Northampton,52.2405,-0.9027,14,18,2026-03-01 06:19:35,8,5,15,79,12,Northamptonshire,82.4,26.6,26.0,65.2,15.4,43.1
Canterbury,51.2798,1.0837,10,23,2026-03-01 05:59:59,9,6,8,216,6,Kent,58.8,34.4,29.9,34.8,43.3,40.2
Colchester,51.8892,0.9042,10,21,2026-03-01 06:00:01,10,9,4,268,4,Essex,58.8,31.2,37.3,17.4,53.9,39.7
Salisbury,51.0688,-1.7945,5,27,2026-03-01 06:00:25,0,4,11,352,5,Wiltshire,29.4,40.6,6.9,47.8,70.9,39.1
Hereford,52.0564,-2.716,10,16,2026-03-01 06:12:48,10,2,7,271,4,Herefordshire,58.8,23.4,25.2,30.4,54.5,38.5
Chichester,50.8367,-0.78,4,34,2026-03-01 06:00:00,8,3,13,192,5,West Sussex,23.5,51.6,22.6,56.5,38.4,38.5
Chesterfield,53.235,-1.4214,9,19,2026-03-01 06:05:52,2,10,8,271,5,Derbyshire,52.9,28.1,21.6,34.8,54.5,38.4
Harrogate,53.9921,-1.5418,10,56,2026-03-01 06:00:03,3,6,3,86,5,North Yorkshire,58.8,85.9,16.9,13.0,16.9,38.3
